MSOACD,NaPTANID,Distance
E02002536,9100BLNGHM,1179.90146764
E02002537,9100BLNGHM,653.694000451
E02002534,9100KLDL,5631.33727092
E02002535,9100BLNGHM,1903.29958779
E02002532,9100LONGBCK,6058.21950539
E02002533,9100GTAYTON,5308.58013748
E02002530,9100SBRN,5155.69581846
E02002538,9100BLNGHM,1255.28497307
E02002539,9100STOCTON,4733.00325527
E02005740,9100CRMLNGT,5764.06106225
E02005741,9100CRMLNGT,5106.53550067
E02001736,9100GTSHDMC,1762.2640496
E02001737,9100HEWORTH,1772.51451555
E02001734,9100GTSHDMC,1596.36652837
E02001735,9100HEWORTH,2310.35868468
E02001732,9100BLAYDON,2070.27616093
E02001733,9100MANORS,2183.40297591
E02001730,9100MANORS,685.196795208
E02001731,9100NWCSTLE,795.353698652
E02001738,9100CRMLNGT,9158.18126343
E02001739,9100CRMLNGT,3644.99543685
E02004354,9100BSAUKLD,3213.98790296
E02004355,9100BSAUKLD,1247.08702646
E02004352,9100BSAUWEA,1191.19250039
E02004353,9100BSAUKLD,521.817468853
E02004350,9100BSAUKLD,7580.78451882
E02004351,9100BSAUKLD,5379.51620373
E02002506,9100JAMCOK,1159.88294091
E02002507,9100JAMCOK,2605.79900544
E02002504,9100MDLSBRO,2721.26116431
E02002505,9100JAMCOK,515.483040238
E02002502,9100MARTON,1788.77269613
E02002503,9100TABY,2437.45078902
E02002500,9100MDLSBRO,2113.11311908
E02002501,9100JAMCOK,1432.66926772
E02002508,9100JAMCOK,3397.24672407
E02002509,9100MARTON,1163.68667696
E02001706,9100HEWORTH,5483.00982987
E02001787,9100BRWHINS,1559.3521186
E02001707,9100CLST,3860.18593125
E02001786,9100EBOLDON,1663.53127792
E02001704,9100HEWORTH,3733.86517809
E02001785,9100SEABURN,3370.75675948
E02001705,9100WYLAM,6183.03265417
E02001784,9100BRWHINS,1587.68887489
E02001702,9100HEWORTH,2703.92511936
E02001783,9100BRWHINS,1057.94337882
E02001703,9100BLAYDON,5040.57012818
E02001782,9100BRWHINS,3155.95718012
E02001700,9100DNSN,1992.95525138
E02001781,9100BRWHINS,611.385496119
E02001701,9100DNSN,3491.22420429
E02001780,9100EBOLDON,2706.20352473
E02001708,9100AIRP,3519.77653724
E02001789,9100EBOLDON,772.646808678
E02001709,9100AIRP,5673.56765192
E02001788,9100BRWHINS,919.433988489
E02006842,9100NWCSTLE,2360.90085692
E02006841,9100MANORS,1633.4769813
E02004326,9100SEAHAM,9057.2184205
E02004327,9100SEAHAM,8749.42214173
E02004324,9100SEAHAM,5671.15856097
E02004325,9100SEAHAM,8056.85114659
E02004322,9100SEAHAM,1235.95182137
E02004323,9100SEAHAM,4220.62219157
E02004320,9100SEAHAM,1278.1467384
E02004321,9100SEAHAM,739.636476178
E02004328,9100SEAHAM,8352.59535814
E02004329,9100SEAHAM,9836.53877979
E02002516,9100REDCARC,869.463336938
E02002517,9100REDCBSC,1498.73515498
E02002514,9100GYPSYLA,2703.68427319
E02002515,9100REDCARC,379.043565056
E02002512,9100GYPSYLA,1419.1410899
E02002513,9100MARTON,3800.91822285
E02002510,9100JAMCOK,3844.70213791
E02002518,9100REDCARE,590.448821626
E02002519,9100REDCARE,1843.09488845
E02005726,9100AIRP,4240.25481688
E02005727,9100HYDB,18389.4528978
E02005725,9100AIRP,2738.64448158
E02005722,9100MRPTHRP,3178.98249188
E02005723,9100MRPTHRP,366.650231045
E02005720,9100WDRNGTN,1568.30236184
E02005721,9100PEGSWD,584.713607863
E02001797,9100HEWORTH,3816.56556657
E02001796,9100SNDRMNK,1086.57217296
E02001714,9100MANORS,3550.07950493
E02001795,9100SEABURN,1124.41981014
E02001715,9100NWCSTLE,4249.79342186
E02001794,9100SEABURN,2196.06003739
E02001712,9100MANORS,3699.26732934
E02001793,9100EBOLDON,2727.4735413
E02001713,9100MANORS,3874.29268825
E02001792,9100SEABURN,759.35157261
E02001710,9100AIRP,4813.18154279
E02001791,9100SEABURN,302.02574479
E02005728,9100HLTWHST,264.334113671
E02001711,9100AIRP,3576.09019667
E02001790,9100EBOLDON,1299.46202607
E02005729,9100PRUDHOE,513.744376818
E02001718,9100GTSHDMC,4231.78796336
E02001799,9100HEWORTH,4583.67437277
E02001719,9100MANORS,2919.81161479
E02001798,9100EBOLDON,3561.44653851
E02006909,9100HRTLEPL,2795.96101984
E02004336,9100NWTA,9102.23794662
E02004337,9100BSAUWEA,5666.66795879
E02004334,9100DRHM,13329.5834568
E02004335,9100BSAUWEA,7757.2813295
E02004332,9100HRTLEPL,11923.6862473
E02004333,9100BSAUWEA,7391.80377942
E02004330,9100HRTLEPL,8679.08122791
E02004331,9100DRHM,11095.8637528
E02004338,9100NWTA,6093.54998954
E02004339,9100NWTA,10103.3849375
E02005736,9100PEGSWD,6271.93994709
E02005737,9100PEGSWD,4051.27651617
E02005734,9100PEGSWD,8097.39547593
E02005735,9100PEGSWD,5188.85236475
E02005733,9100HYDB,2121.10791987
E02005730,9100HEXHAM,901.993505596
E02005731,9100PRUDHOE,1049.00381095
E02005738,9100PEGSWD,5276.86110672
E02005739,9100PEGSWD,3734.11748828
E02006910,9100STHBANK,2218.34896945
E02001826,9100SEAHAM,7056.67083454
E02001824,9100CLST,7331.74515486
E02001825,9100SEAHAM,7141.62185885
E02001822,9100CLST,6295.54010718
E02001823,9100CLST,5516.3406719
E02001820,9100CLST,5391.48863161
E02001821,9100SEAHAM,4669.11091028
E02004306,9100CLST,11016.188696
E02004307,9100DRHM,6556.24078374
E02004304,9100STCKSFL,13000.0824667
E02004305,9100STCKSFL,11749.7457093
E02004302,9100CLST,8636.08248626
E02004303,9100STCKSFL,11520.5611968
E02004300,9100CLST,10731.4163539
E02004301,9100CLST,7076.75973021
E02004308,9100DRHM,2614.37248847
E02004309,9100DRHM,1883.1769852
E02002566,9100NTRD,722.329540307
E02002567,9100DLTN,1456.48506489
E02002564,9100NTRD,1938.13675804
E02002565,9100NTRD,856.626561429
E02002562,9100NTRD,656.02239554
E02002563,9100NTRD,1744.96347092
E02002560,9100NTRD,1614.41441355
E02002561,9100NTRD,2253.26210906
E02002568,9100DLTN,1556.7924308
E02002569,9100NTRD,2442.22933373
E02002487,9100HRTLEPL,863.136520893
E02002485,9100HRTLEPL,1568.9940821
E02002484,9100HRTLEPL,1827.4464025
E02002483,9100HRTLEPL,3674.76913737
E02002489,9100HRTLEPL,977.607799435
E02002488,9100HRTLEPL,1687.94241335
E02001766,9100HEWORTH,5171.96840413
E02001767,9100HEWORTH,4749.90051594
E02001764,9100BRWHINS,4533.09401225
E02001765,9100BRWHINS,4830.38755361
E02001762,9100MANORS,5004.7683823
E02001763,9100BRWHINS,5341.04707367
E02001760,9100BRWHINS,5306.91853721
E02001761,9100MANORS,6205.55671027
E02001768,9100BRWHINS,4875.19394761
E02001769,9100BRWHINS,3601.1199691
E02005706,9100BRWCKUT,1160.5752477
E02005707,9100BRWCKUT,2381.84648601
E02005704,9100ACKLNGT,4590.05100776
E02005705,9100ACKLNGT,16294.9728279
E02005702,9100ALNMOTH,3953.40173548
E02005703,9100ALNMOTH,4900.36978387
E02005708,9100CHHL,11567.3134266
E02005709,9100CRMLNGT,5942.00540528
E02001685,9100BLAYDON,1201.49667012
E02001684,9100HEWORTH,460.587134065
E02001683,9100WYLAM,2092.32436681
E02001682,9100BLAYDON,2798.13864843
E02001689,9100NWCSTLE,1677.00366903
E02001688,9100DNSN,705.156143878
E02004316,9100DRHM,7608.99216946
E02004317,9100DRHM,4639.29894321
E02004314,9100DRHM,903.757598601
E02004315,9100DRHM,1143.26328639
E02004312,9100DRHM,3662.25211736
E02004313,9100DRHM,2047.92157498
E02004310,9100DRHM,3472.35962461
E02004311,9100DRHM,5488.63738195
E02004318,9100DRHM,5700.1202827
E02004319,9100DRHM,8683.90783363
E02002572,9100DLTN,640.000403582
E02002573,9100DINSDAL,643.950859499
E02002570,9100DLTN,574.564091423
E02002571,9100DLTN,1453.64840179
E02002497,9100JAMCOK,1978.94995242
E02002496,9100MDLSBRO,1078.88362059
E02002494,9100SETNCRW,2715.78916362
E02002493,9100SETNCRW,471.40420529
E02002492,9100SETNCRW,1567.87748167
E02002491,9100HRTLEPL,2563.40953357
E02002490,9100HRTLEPL,1568.73890225
